dispute_number,title_of_dispute,complainant_a,complainant_b,complainant_c,complainant_d,complainant_e,complainant_f,complainant_g,complainant_h,complainant_i,respondent_a,respondent_b,respondent_c,respondent_d,respondent_e,year_initiated,panel_requested,year_concluded,status,mtn2023_category,thirdparty_a,thirdparty_b,thirdparty_c,thirdparty_d,thirdparty_e,thirdparty_f,thirdparty_g,thirdparty_h,thirdparty_i,thirdparty_j,thirdparty_k,thirdparty_l,thirdparty_m,thirdparty_n,thirdparty_o,thirdparty_p,thirdparty_q,thirdparty_r,thirdparty_s,thirdparty_t,thirdparty_u,thirdparty_v,thirdparty_w,thirdparty_x,thirdparty_y,thirdparty_z,thirdparty_aa,thirdparty_ab,thirdparty_ac,thirdparty_ad,thirdparty_ae,thirdparty_af,thirdparty_ag,thirdparty_ah,thirdparty_ai,no_third_parties
312,Korea - Anti-Dumping Duties on Imports of Certain Paper from INS,INS,,,,,,,,,ROK,,,,,2004,Yes,2007,Compliance proceedings completed with finding(s) of non-compliance,"O (Wood, Paper, Furniture)",CAN,CHN,EU,JPN,USA,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
313,EU2004 - Anti-Dumping Duties on Certain Flat Rolled Iron or Non-Alloy Steel Products from IND,IND,,,,,,,,,EU,,,,,2004,No,2004,"Settled or terminated (withdrawn, mutually agreed solution)",L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
314,MEX - Provisional Countervailing Measures on Olive Oil from the EU2004,EU,,,,,,,,,MEX,,,,,2004,No,2004,In consultations,"F (Oilseeds, Fats and Oils)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
315,EU2004 - Selected Customs Matters,USA,,,,,,,,,EU,,,,,2004,Yes,2006,Implementation notified by respondent,W (Not Industry-Specific),ARG,AUL,BRA,CHN,TAW,HGK,CHN,IND,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,10
316,EU2004 and Certain Member States - Measures Affecting Trade in Large Civil Aircraft,USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2004,Yes,2019,Authorization to retaliate granted,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
317,USA - Measures Affecting Trade in Large Civil Aircraft,EU,,,,,,,,,USA,,,,,2004,Yes,2005,Panel composed,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
318,"IND - Anti-Dumping Measures on Certain Products from the Separate Customs Territory of TAW, Penghu, Kinmen and Matsu",TAW,,,,,,,,,IND,,,,,2004,No,2004,In consultations,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
319,USA - Section 776 of the Tariff Act of 1930,EU,,,,,,,,,USA,,,,,2004,No,2004,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
320,USA - Continued Suspension of Obligations in the EC - Customs Dispute,EU,,,,,,,,,USA,,,,,2004,Yes,2008,"Report(s) adopted, no further action required",N (Chemicals),AUL,BRA,CAN,CHN,TAW,IND,MEX,NEW,NOR,,,,,,,,,,,,,,,,,,,,,,,,,,,9
321,CAN - Continued Suspension of Obligations in the EC - Customs Dispute,EU,,,,,,,,,CAN,,,,,2004,Yes,2008,"Report(s) adopted, no further action required",N (Chemicals),AUL,BRA,CHN,TAW,IND,MEX,NEW,NOR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,9
322,USA - Measures Relating to Zeroing and Sunset Reviews,JPN,,,,,,,,,USA,,,,,2004,Yes,2012,"Report(s) adopted, with recommendations to bring measures into conformity",W (Not Industry-Specific),ARG,CHN,EU,HGK,IND,ROK,MEX,NEW,NOR,TAW,THI,,,,,,,,,,,,,,,,,,,,,,,,,11
323,JPN - Import Quotas on Dried Laver and Seasoned Laver,ROK,,,,,,,,,JPN,,,,,2004,Yes,2006,"Settled or terminated (withdrawn, mutually agreed solution)",J (Other Agricultural Products),CHN,EU,NEW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
324,USA - Provisional Anti-Dumping Measures on Shrimp from THI,THI,,,,,,,,,USA,,,,,2004,No,2004,In consultations,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
325,USA - Anti-Dumping Determinations regarding Stainless Steel from MEX,MEX,,,,,,,,,USA,,,,,2005,No,2005,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
326,EU2004 - Definitive Safeguard Measure on Salmon,CHL,,,,,,,,,EU,,,,,2005,No,2005,"Settled or terminated (withdrawn, mutually agreed solution)",K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
327,EGY - Anti-Dumping Duties on Matches from PAK,PAK,,,,,,,,,EGY,,,,,2005,Yes,2006,"Settled or terminated (withdrawn, mutually agreed solution)",N (Chemicals),CHN,EU,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
328,EU2004 - Definitive Safeguard Measure on Salmon,NOR,,,,,,,,,EU,,,,,2005,No,2005,In consultations,K (Fish and Fish Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
329,PAN - Tariff Classification of Certain Milk Products,MEX,,,,,,,,,PAN,,,,,2005,No,2005,"Settled or terminated (withdrawn, mutually agreed solution)",B (Dairy Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
330,"ARG - Countervailing Duties on Olive Oil, Wheat Gluten and Peaches",EU,,,,,,,,,ARG,,,,,2005,No,2005,In consultations,"F (Oilseeds, Fats and Oils)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
331,MEX - Anti-Dumping Duties on Steel Pipes and Tubes from GUA,GUA,,,,,,,,,MEX,,,,,2005,Yes,2008,Implementation notified by respondent,L (Minerals and Metals),CHN,EU,HON,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
332,BRA - Measures Affecting Imports of Retreaded Tyres,EU,,,,,,,,,BRA,,,,,2005,Yes,2009,Implementation notified by respondent,"R (Rubber, Leather and Footwear)",ARG,AUL,CHN,CUB,GUA,JPN,ROK,MEX,PAR,TAW,THI,USA,,,,,,,,,,,,,,,,,,,,,,,,12
333,DOM - Foreign Exchange Fee Affecting Imports from COS,COS,,,,,,,,,DOM,,,,,2005,No,2005,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
334,TUR - Measures Affecting the Importation of Rice,USA,,,,,,,,,TUR,,,,,2005,Yes,2008,Implementation notified by respondent,E (Cereals and Food Preparations),ARG,AUL,CHN,EGY,EU,ROK,PAK,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
335,USA - Anti-Dumping Measure on Shrimp from ECU,ECU,,,,,,,,,USA,,,,,2005,Yes,2007,Implementation notified by respondent,K (Fish and Fish Products),BRA,CHL,CHN,EU,IND,JPN,ROK,MEX,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,9
336,JPN - Countervailing Duties on Dynamic Random Access Memories from Korea,ROK,,,,,,,,,JPN,,,,,2006,Yes,2010,Authority for panel lapsed,"S (Mechanical, Office and Computing Machinery)",CHN,EU,TAW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
337,EU2004 - Anti-Dumping Measure on Farmed Salmon from NOR,NOR,,,,,,,,,EU,,,,,2006,Yes,2008,"Report(s) adopted, with recommendations to bring measures into conformity",K (Fish and Fish Products),CAN,CHN,HGK,JPN,ROK,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
338,CAN - Provisional Anti-Dumping and Countervailing Duties on Grain Corn from the USA,USA,,,,,,,,,CAN,,,,,2006,No,2006,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
339,CHN - Measures Affecting Imports of Automobile Parts,EU,,,,,,,,,CHN,,,,,2006,Yes,2009,Implementation notified by respondent,U (Transport Equipment),ARG,AUL,BRA,JPN,MEX,TAW,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
340,CHN - Measures Affecting Imports of Automobile Parts,USA,,,,,,,,,CHN,,,,,2006,Yes,2009,Implementation notified by respondent,U (Transport Equipment),ARG,AUL,BRA,JPN,MEX,TAW,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
341,MEX - Definitive Countervailing Measures on Olive Oil from the EU2004,EU,,,,,,,,,MEX,,,,,2006,Yes,2008,Implementation notified by respondent,"F (Oilseeds, Fats and Oils)",CAN,CHN,JPN,NOR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
342,CHN - Measures Affecting Imports of Automobile Parts,CAN,,,,,,,,,CHN,,,,,2006,Yes,2009,Implementation notified by respondent,U (Transport Equipment),ARG,AUL,BRA,JPN,MEX,TAW,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
343,USA - Measures Relating to Shrimp from THI,THI,,,,,,,,,USA,,,,,2006,Yes,2009,Implementation notified by respondent,K (Fish and Fish Products),BRA,CHL,CHN,EU,IND,ROK,JPN,MEX,DRV,,,,,,,,,,,,,,,,,,,,,,,,,,,9
344,USA - Final Anti-Dumping Measures on Stainless Steel from MEX,MEX,,,,,,,,,USA,,,,,2006,Yes,2013,"Settled or terminated (withdrawn, mutually agreed solution)",L (Minerals and Metals),BRA,CHL,CHN,EU,JPN,ROK,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
345,USA - Customs Bond Directive for Merchandise Subject to Anti-Dumping/Countervailing Duties,IND,,,,,,,,,USA,,,,,2006,Yes,2009,Implementation notified by respondent,K (Fish and Fish Products),BRA,CHN,EU,JPN,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
346,USA - Anti-Dumping Administrative Review on Oil Country Tubular Goods from ARG,ARG,,,,,,,,,USA,,,,,2006,No,2006,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
347,EU2004 and Certain Member States - Measures Affecting Trade in Large Civil Aircraft (Second Complaint),USA,,,,,,,,,EU,FRN,GMY,SPN,UK,2006,Yes,2007,Authority for panel lapsed,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
348,COL - Customs Measures on Importation of Certain Goods from PAN,PAN,,,,,,,,,COL,,,,,2006,No,2006,"Settled or terminated (withdrawn, mutually agreed solution)",P (Textiles),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
349,EU2004 - Measures Affecting the Tariff Quota for Fresh or Chilled Garlic,ARG,,,,,,,,,EU,,,,,2006,No,2006,In consultations,C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
350,USA - Continued Existence and Application of Zeroing Methodology,EU,,,,,,,,,USA,,,,,2006,Yes,2009,"Report(s) adopted, with recommendations to bring measures into conformity",W (Not Industry-Specific),BRA,CHN,EGY,IND,JPN,ROK,MEX,NOR,TAW,THI,,,,,,,,,,,,,,,,,,,,,,,,,,10
351,CHL - Provisional Safeguard Measure on Certain Milk Products,ARG,,,,,,,,,CHL,,,,,2006,Yes,2008,Authority for panel lapsed,B (Dairy Products),USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
352,IND - Measures Affecting the Importation and Sale of Wines and Spirits from the EU2004,EU,,,,,,,,,IND,,,,,2006,Yes,2008,Authority for panel lapsed,H (Beverages and Tobacco),AUL,CHL,JPN,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
353,USA - Measures Affecting Trade in Large Civil Aircraft - Second Complaint,EU,,,,,,,,,USA,,,,,2005,Yes,2020,Authorization to retaliate granted,U (Transport Equipment),AUL,BRA,CAN,CHN,JPN,ROK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
354,CAN - Tax Exemptions and Reductions for Wine and Beer,EU,,,,,,,,,CAN,,,,,2006,No,2008,"Settled or terminated (withdrawn, mutually agreed solution)",H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
355,BRA - Anti-Dumping Measures on Imports of Certain Resins from ARG,ARG,,,,,,,,,BRA,,,,,2006,Yes,2009,Authority for panel lapsed,"O (Wood, Paper, Furniture)",EU,JPN,TAW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4
356,CHL - Definitive Safeguard Measures on Certain Milk Products,ARG,,,,,,,,,CHL,,,,,2006,Yes,2008,Authority for panel lapsed,B (Dairy Products),USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
357,USA - Subsidies and Other Domestic Support for Corn and Other Agricultural Products,CAN,,,,,,,,,USA,,,,,2007,Yes,2007,"Panel established, but not yet composed",E (Cereals and Food Preparations),ARG,AUL,CHL,EU,IND,JPN,MEX,NEW,NIC,SAF,TAW,THI,TUR,URU,,,,,,,,,,,,,,,,,,,,,,14
358,"CHN - Certain Measures Granting Refunds, Reductions or Exemptions from Taxes and Other Payments",USA,,,,,,,,,CHN,,,,,2007,Yes,2007,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),ARG,AUL,CAN,CHL,COL,EGY,EU,JPN,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,9
359,"CHN - Certain Measures Granting Refunds, Reductions or Exemptions from Taxes and Other Payments",MEX,,,,,,,,,CHN,,,,,2007,Yes,2008,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),ARG,AUL,CAN,CHL,COL,EGY,EU,JPN,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,9
360,IND - Additional and Extra-Additional Duties on Imports from the USA,USA,,,,,,,,,IND,,,,,2007,Yes,2008,"Report(s) adopted, no further action required",H (Beverages and Tobacco),AUL,CHL,EU,JPN,DRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
361,EU2007 - Regime for the Importation of Bananas,COL,,,,,,,,,EU,,,,,2007,No,2012,"Settled or terminated (withdrawn, mutually agreed solution)",B (Dairy Products),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
362,CHN - Measures Affecting the Protection and Enforcement of Intellectual Property Rights,USA,,,,,,,,,CHN,,,,,2007,Yes,2010,Implementation notified by respondent,W (Not Industry-Specific),ARG,AUL,BRA,CAN,EU,IND,JPN,ROK,MEX,TAW,THI,TUR,,,,,,,,,,,,,,,,,,,,,,,,12
363,CHN - Measures Affecting Trading Rights and Distribution Services for Certain Publication and Audiovisual Entertainment Products,USA,,,,,,,,,CHN,,,,,2007,Yes,2012,Implementation notified by respondent,V (Other Manufactures),AUL,EU,JPN,ROK,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
364,EU2007 - Regime for the Importation of Bananas,PAN,,,,,,,,,EU,,,,,2007,No,2012,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
365,USA - Domestic Support and Export Credit Guarantees for Agricultural Products,BRA,,,,,,,,,USA,,,,,2007,Yes,2007,"Panel established, but not yet composed","I (Cotton, Silk and Wool)",ARG,AUL,CHL,EU,IND,JPN,MEX,NEW,NIC,SAF,TAW,THI,TUR,URU,,,,,,,,,,,,,,,,,,,,,,14
366,COL - Indicative Prices and Restrictions on Ports of Entry,PAN,,,,,,,,,COL,,,,,2007,Yes,2010,Implementation notified by respondent,W (Not Industry-Specific),CHN,ECU,EU,GUA,HON,IND,TAW,TUR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,9
367,AUL - Measures Affecting the Importation of Apples from NEW,NEW,,,,,,,,,AUL,,,,,2007,Yes,2011,Implementation notified by respondent,C (Fruits and Vegetables),CHL,EU,JPN,PAK,TAW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
368,USA - Preliminary Anti-Dumping and Countervailing Duty Determinations on Coated Free Sheet Paper from CHN,CHN,,,,,,,,,USA,,,,,2007,No,2007,In consultations,"O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
369,EU2007 - Certain Measures Prohibiting the Importation and Marketing of Seal Products,CAN,,,,,,,,,EU,,,,,2007,Yes,2014,"Settled or terminated (withdrawn, mutually agreed solution)",A (Live Animals and Meat),ARG,CHN,COL,ECU,JPN,MEX,NOR,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
370,THI - Customs Valuation of Certain Products from the EU2007,EU,,,,,,,,,THI,,,,,2008,No,2008,In consultations,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
371,THI - Customs and Fiscal Measures on Cigarettes from the PHI,PHI,,,,,,,,,THI,,,,,2008,Yes,Ongoing,Compliance proceedings ongoing,H (Beverages and Tobacco),AUL,CHN,EU,IND,TAW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
372,CHN - Measures Affecting Financial Information Services and Foreign Financial Information Suppliers,EU,,,,,,,,,CHN,,,,,2008,No,2008,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
373,CHN - Measures Affecting Financial Information Services and Foreign Financial Information Suppliers,USA,,,,,,,,,CHN,,,,,2008,No,2008,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
374,SAF - Anti-Dumping Measures on Uncoated Woodfree Paper,INS,,,,,,,,,SAF,,,,,2008,No,2008,"Settled or terminated (withdrawn, mutually agreed solution)","O (Wood, Paper, Furniture)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
375,EU2007 and its Member States - Tariff Treatment of Certain Information Technology Products,USA,,,,,,,,,EU,,,,,2008,Yes,2011,Implementation notified by respondent,"S (Mechanical, Office and Computing Machinery)",AUL,BRA,CHN,COS,HGK,IND,JPN,ROK,PHI,SIN,TAW,THI,TUR,DRV,,,,,,,,,,,,,,,,,,,,,,14
376,EU2007 and its Member States - Tariff Treatment of Certain Information Technology Products,JPN,,,,,,,,,EU,,,,,2008,Yes,2011,Implementation notified by respondent,"S (Mechanical, Office and Computing Machinery)",AUL,BRA,CHN,COS,HGK,IND,ROK,PHI,SIN,TAW,THI,TUR,USA,DRV,,,,,,,,,,,,,,,,,,,,,,14
377,EU2007 and its Member States - Tariff Treatment of Certain Information Technology Products,TAW,,,,,,,,,EU,,,,,2008,Yes,2011,Implementation notified by respondent,"S (Mechanical, Office and Computing Machinery)",AUL,BRA,CHN,COS,HGK,IND,JPN,ROK,PHI,SIN,THI,TUR,USA,DRV,,,,,,,,,,,,,,,,,,,,,,14
378,CHN - Measures Affecting Financial Information Services and Foreign Financial Information Suppliers,CAN,,,,,,,,,CHN,,,,,2008,No,2008,"Settled or terminated (withdrawn, mutually agreed solution)",W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
379,USA - Definitive Anti-Dumping and Countervailing Duties on Certain Products from CHN,CHN,,,,,,,,,USA,,,,,2008,Yes,2012,Implementation notified by respondent,W (Not Industry-Specific),ARG,AUL,BAH,BRA,CAN,EU,IND,JPN,KUW,MEX,NOR,SAU,TAW,TUR,,,,,,,,,,,,,,,,,,,,,,14
380,IND - Certain Taxes and Other Measures on Imported Wine and Spirits,EU,,,,,,,,,IND,,,,,2008,No,2008,In consultations,H (Beverages and Tobacco),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
381,"USA - Measures Concerning the Importation, Marketing and Sale of Tuna and Tuna Products",MEX,,,,,,,,,USA,,,,,2008,Yes,2019,Compliance proceedings completed without finding of non-compliance,K (Fish and Fish Products),AUL,BRA,CAN,CHN,ECU,EU,GUA,IND,JPN,ROK,NEW,NOR,,,,,,,,,,,,,,,,,,,,,,,,12
382,USA - Anti-Dumping Administrative Reviews and Other Measures Related to Imports of Certain Orange Juice from BRA,BRA,,,,,,,,,USA,,,,,2008,Yes,2013,"Settled or terminated (withdrawn, mutually agreed solution)",C (Fruits and Vegetables),ARG,EU,JPN,ROK,MEX,TAW,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
383,USA - Anti-Dumping Measures on Polyethylene Retail Carrier Bags from THI,THI,,,,,,,,,USA,,,,,2008,Yes,2010,Implementation notified by respondent,N (Chemicals),ARG,EU,JPN,ROK,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
384,USA - Certain Country of Origin Labelling (COOL) Requirements,CAN,,,,,,,,,USA,,,,,2008,Yes,2015,Authorization to retaliate granted,A (Live Animals and Meat),ARG,AUL,BRA,CHN,COL,EU,GUA,IND,JPN,ROK,MEX,NEW,PER,TAW,,,,,,,,,,,,,,,,,,,,,,14
385,EU2007 - Expiry Reviews of Anti-Dumping and Countervailing Duties Imposed on Imports of PET from IND,IND,,,,,,,,,EU,,,,,2008,No,2008,In consultations,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
386,USA - Certain Country of Origin Labelling Requirements,MEX,,,,,,,,,USA,,,,,2008,Yes,2015,Authorization to retaliate granted,A (Live Animals and Meat),ARG,AUL,BRA,CAN,CHN,COL,EU,GUA,IND,JPN,ROK,NEW,PER,TAW,,,,,,,,,,,,,,,,,,,,,,14
387,"CHN - Grants, Loans and Other Incentives",USA,,,,,,,,,CHN,,,,,2008,No,2008,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
388,"CHN - Grants, Loans and Other Incentives",MEX,,,,,,,,,CHN,,,,,2008,No,2008,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
389,EU2007 - Certain Measures Affecting Poultry Meat and Poultry Meat Products from the USA,USA,,,,,,,,,EU,,,,,2009,Yes,2009,"Panel established, but not yet composed",A (Live Animals and Meat),AUL,CHN,GUA,ROK,NEW,NOR,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
390,"CHN - Grants, Loans and Other Incentives",GUA,,,,,,,,,CHN,,,,,2009,No,2009,In consultations,W (Not Industry-Specific),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
391,Korea - Measures Affecting the Importation of Bovine Meat and Meat Products from CAN,CAN,,,,,,,,,ROK,,,,,2009,Yes,2012,"Settled or terminated (withdrawn, mutually agreed solution)",A (Live Animals and Meat),ARG,BRA,IND,CHN,EU,JPN,TAW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
392,USA - Certain Measures Affecting Imports of Poultry from CHN,CHN,,,,,,,,,USA,,,,,2009,Yes,2010,"Report(s) adopted, no further action required",A (Live Animals and Meat),BRA,EU,GUA,ROK,TAW,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
393,CHL - Anti-Dumping Measures on Imports of Wheat Flour from ARG,ARG,,,,,,,,,CHL,,,,,2009,No,2009,In consultations,E (Cereals and Food Preparations),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
394,CHN - Measures Related to the Exportation of Various Raw Materials,USA,,,,,,,,,CHN,,,,,2009,Yes,2013,Implementation notified by respondent,W (Not Industry-Specific),ARG,BRA,CAN,CHL,COL,ECU,EU,IND,JPN,ROK,MEX,NOR,TAW,TUR,SAU,,,,,,,,,,,,,,,,,,,,,15
395,CHN - Measures Related to the Exportation of Various Raw Materials,EU,,,,,,,,,CHN,,,,,2009,Yes,2013,Implementation notified by respondent,W (Not Industry-Specific),ARG,BRA,CAN,CHL,COL,ECU,IND,JPN,ROK,MEX,NOR,TAW,TUR,SAU,USA,,,,,,,,,,,,,,,,,,,,,15
396,PHI - Taxes on Distilled Spirits,EU,,,,,,,,,PHI,,,,,2009,Yes,2013,Implementation notified by respondent,H (Beverages and Tobacco),AUL,CHN,IND,MEX,THI,TAW,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
397,EU2007 - Definitive Anti-Dumping Measures on Certain Iron or Steel Fasteners from CHN,CHN,,,,,,,,,EU,,,,,2009,Yes,2016,"Report(s) adopted, with recommendations to bring measures into conformity",L (Minerals and Metals),BRA,CAN,CHL,COL,IND,JPN,NOR,TAW,THI,TUR,USA,,,,,,,,,,,,,,,,,,,,,,,,,11
398,CHN - Measures Related to the Exportation of Various Raw Materials,MEX,,,,,,,,,CHN,,,,,2009,Yes,2013,Implementation notified by respondent,W (Not Industry-Specific),ARG,BRA,CAN,CHL,COL,ECU,EU,IND,JPN,ROK,NOR,TAW,TUR,SAU,USA,,,,,,,,,,,,,,,,,,,,,15
399,USA - Measures Affecting Imports of Certain Passenger Vehicle and Light Truck Tyres from CHN,CHN,,,,,,,,,USA,,,,,2009,Yes,2011,"Report(s) adopted, no further action required","R (Rubber, Leather and Footwear)",EU,JPN,TAW,TUR,DRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
400,EU2007 - Measures Prohibiting the Importation and Marketing of Seal Products,CAN,,,,,,,,,EU,,,,,2009,Yes,2014,"Report(s) adopted, with recommendations to bring measures into conformity",A (Live Animals and Meat),ARG,CHN,COL,ECU,ICE,JPN,MEX,NOR,RUS,USA,,,,,,,,,,,,,,,,,,,,,,,,,,10
401,EU2007 - Measures Prohibiting the Importation and Marketing of Seal Products,NOR,,,,,,,,,EU,,,,,2009,Yes,2014,"Report(s) adopted, with recommendations to bring measures into conformity",A (Live Animals and Meat),ARG,CAN,CHN,COL,ECU,ICE,JPN,MEX,NAM,RUS,USA,,,,,,,,,,,,,,,,,,,,,,,,,11
402,USA - Use of Zeroing in Anti-Dumping Measures Involving Products from Korea,ROK,,,,,,,,,USA,,,,,2009,Yes,2011,Implementation notified by respondent,L (Minerals and Metals),CHN,EU,JPN,MEX,THI,DRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
403,PHI - Taxes on Distilled Spirits,USA,,,,,,,,,PHI,,,,,2010,Yes,2013,Implementation notified by respondent,H (Beverages and Tobacco),AUL,CHN,COL,EU,IND,MEX,THI,TAW,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
404,USA - Anti-Dumping Measures on Certain Shrimp from DRV,DRV,,,,,,,,,USA,,,,,2010,Yes,2016,"Settled or terminated (withdrawn, mutually agreed solution)",K (Fish and Fish Products),CHN,EU,IND,JPN,ROK,MEX,THI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
405,EU2007 - Anti-Dumping Measures on Certain Footwear from CHN,CHN,,,,,,,,,EU,,,,,2010,Yes,2012,Implementation notified by respondent,"R (Rubber, Leather and Footwear)",AUL,BRA,COL,JPN,TUR,USA,DRV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
406,USA - Measures Affecting the Production and Sale of Clove Cigarettes,INS,,,,,,,,,USA,,,,,2010,Yes,2014,Mutually acceptable solution on implementation notified,H (Beverages and Tobacco),BRA,COL,DOM,EU,GUA,MEX,NOR,TUR,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
407,CHN - Provisional Anti-Dumping Duties on Certain Iron and Steel Fasteners from the EU2007,EU,,,,,,,,,CHN,,,,,2010,No,2010,In consultations,L (Minerals and Metals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
408,EU2007 and a Member State - Seizure of Generic Drugs in Transit,IND,,,,,,,,,EU,NTH,,,,2010,No,2010,In consultations,N (Chemicals),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
